feature,importance
B_chi2,0.08321867786433011
G_chi2,0.06788123603502803
B_lsb_std,0.06164699248321469
G_even_odd,0.05802353019659798
G_lsb_std,0.05652778238918215
G_lsb_mean,0.043557140919485655
B_even_odd,0.039727113088129574
B_diff_h,0.038202215478824166
B_lsb_mean,0.03165526591165946
G_entropy,0.029704419460148533
bitplane_0_std,0.028804602535623527
R_chi2,0.026458327067349297
R_lsb_std,0.02631644076162079
B_diff_v,0.02571690982513082
B_entropy,0.024278901467403826
G_diff_h,0.02288816519496067
R_diff_h,0.021043567595199198
R_even_odd,0.020106625746714745
R_lsb_mean,0.018974210365166205
R_entropy,0.018478492950560862
G_diff_v,0.01825564972250999
R_diff_v,0.014584591256712439
bitplane_1_std,0.013733084804966197
bitplane_2_std,0.013713760112852382
corr_GB,0.013654869527905096
B_dct_p75,0.01283088139068878
bitplane_3_std,0.011837193044837303
R_dct_p25,0.011257743087033416
GB_diff,0.010555296332430623
B_dct_p25,0.009993268208554265
global_mean,0.00998373011800933
RG_diff,0.009875708621972118
R_dct_p75,0.009668943023479126
global_std,0.009499178369243312
B_dct_std,0.008349687189383155
corr_RG,0.008094999867443742
corr_RB,0.007660753359726017
B_dct_mean,0.00730096501073936
G_dct_p25,0.007062934855588382
G_dct_p75,0.006759365247708084
median,0.006542111064990711
pct95,0.0064966914868033075
R_dct_mean,0.006464368570486377
G_dct_std,0.006156248004700835
G_dct_mean,0.0061468845075533865
R_dct_std,0.005950975381508781
dynamic_range,0.004359500495843089
pct5,0.0
